Month	Year	Claim
Jan	1992	1542
Feb	2006	1724
Jan	1993	9751
Aug	1990	12760
Jun	1992	18922
Jul	2013	10324
Dec	2013	5704
Jan	2004	6062
Feb	2011	7115
Aug	2015	15490
Oct	1995	9223
Mar	1995	10506
Aug	2019	10779
Jul	2010	7734
Nov	1999	19666
Jul	2017	1033
Oct	2019	4330
Aug	1993	11301
Aug	2015	6336
Jul	2007	20459
May	1996	7317
Aug	1992	7507
Jul	2019	5036
Dec	2014	1242
Oct	2011	30683
Apr	2015	7483
Apr	1992	20046
Jan	2014	2542
Dec	1992	14424
Feb	2012	13683
Sep	1991	2460
Jul	1995	6379
Feb	2007	10521
Dec	2003	26314
Jul	2006	7473
Feb	1999	6789
Sep	2000	14851
Apr	2018	5106
Apr	2006	3838
Aug	1993	15727
May	1990	10981
Jan	2013	1137
Sep	2004	25130
Dec	1992	4964
Apr	1993	7926
Jun	2009	2014
Feb	1993	39689
Dec	2019	825
Jun	1992	4064
May	2018	7691
Oct	2011	14366
May	2002	22295
Dec	2012	6613
Sep	2009	7675
Nov	2008	3712
Dec	2007	5781
Jun	1991	3272
Aug	2005	416
Jun	1996	15651
Dec	2014	10314
Mar	2011	7677
Aug	2011	6305
Dec	2001	1686
Sep	2003	3093
May	1991	9164
Jan	2000	782
Jun	1997	27827
Mar	2012	1115
Jun	2011	4502
Feb	1993	2045
Aug	2004	11896
Jul	1991	8124
Feb	2017	1252
Nov	1999	6268
Mar	2009	1695
Nov	2001	5795
Dec	1999	4354
Nov	2004	1159
Jul	2018	25130
Nov	2007	14478
Nov	1992	2750
Feb	2011	26607
Jun	2017	27004
Apr	1994	12876
Aug	2004	41051
Nov	2016	265
Mar	1993	19467
Jun	2003	24226
Jul	2012	17786
Nov	2015	680
Nov	2007	1540
Mar	1997	4525
Jan	2019	4202
Sep	1994	9752
Sep	2013	9268
Dec	2016	21741
Jul	1999	7526
Oct	2018	6309
Feb	2007	10711
Mar	2014	9109
