"policy.number" "probability.of.claim" "exponential.parameter"
1 0.0024 0.00011
2 0.007 8e-05
3 0.0093 0.00011
4 0.0032 0.00014
5 0.0015 0.00014
6 0.0072 5e-05
7 0.0055 1e-04
8 0.0082 0.00015
9 0.0096 5e-05
10 0.0015 0.00019
11 0.0031 5e-05
12 0.0052 6e-05
13 0.0035 9e-05
14 0.0058 8e-05
15 0.003 8e-05
16 0.0024 8e-05
17 0.0042 0.00017
18 0.009 6e-05
19 0.0058 0.00012
20 0.0085 5e-05
21 0.009 6e-05
22 0.0074 0.00013
23 0.0025 0.00013
24 0.0026 0.00016
25 0.0018 0.00018
26 0.0051 0.00011
27 0.0046 9e-05
28 0.0097 9e-05
29 0.0018 0.00013
30 0.0096 0.00016
31 0.0047 2e-04
32 0.001 0.00019
33 0.0031 0.00017
34 7e-04 0.00015
35 6e-04 9e-05
36 0.0051 0.00015
37 0.0062 5e-05
38 0.0062 0.00015
39 0.0043 8e-05
40 0.0043 1e-04
41 0.0083 1e-04
42 0.0027 6e-05
43 0.0084 7e-05
44 0.0056 0.00019
45 0.0094 8e-05
46 0.0057 0.00014
47 0.0077 0.00019
48 0.0011 0.00019
49 0.0081 2e-04
50 0.0065 0.00018
51 0.0041 0.00013
52 0.0059 0.00011
53 0.0093 6e-05
54 0.0098 6e-05
55 0.0094 0.00013
56 0.0041 0.00014
57 0.0029 0.00014
58 0.0029 0.00014
59 0.0023 0.00012
60 0.0018 2e-04
61 0.0064 0.00013
62 0.0021 0.00018
63 0.0088 8e-05
64 0.0099 0.00012
65 0.0099 7e-05
66 0.009 2e-04
67 0.009 0.00018
68 0.002 0.00012
69 0.0094 1e-04
70 0.0084 0.00018
71 0.0084 8e-05
72 0.0073 0.00016
73 0.002 0.00019
74 0.0085 0.00019
75 7e-04 0.00013
76 0.0093 0.00015
77 8e-04 2e-04
78 0.0072 8e-05
79 0.0047 8e-05
80 0.0035 1e-04
81 0.0095 0.00011
82 0.0084 0.00013
83 0.0025 0.00017
84 0.0013 8e-05
85 0.005 0.00016
86 9e-04 2e-04
87 0.0098 0.00013
88 0.008 9e-05
89 0.0036 0.00013
90 0.0063 0.00016
91 0.0073 8e-05
92 0.0037 0.00014
93 0.0023 0.00018
94 0.0043 0.00016
95 0.0035 0.00018
96 0.0083 0.00016
97 0.0027 0.00014
98 0.0065 0.00012
99 0.005 0.00014
100 0.0048 1e-04
101 0.0094 0.00019
102 0.0074 9e-05
103 0.006 0.00014
104 0.0093 0.00019
105 0.0086 2e-04
106 0.0043 0.00012
