"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec"
"1" 2007 2633195 1280656 3585186 2700174 1265104 3074181 4035156 4315025 2323884 2256285 1230474 2921563
"2" 2008 2786850 2815742 1003484 1493892 1501563 3913435 1651554 3557261 2754917 2073325 3500790 2691395
"3" 2009 1427882 1721642 3103003 1378668 1652243 2824658 2165806 1343693 3178620 2886657 1713969 2553432
"4" 2010 2042635 2685104 3824133 2838967 2046643 2899791 1215959 1946489 2776620 2411046 2748281 3141504
"5" 2011 1873983 1165156 1073710 2337914 2526337 2288010 3921524 1954575 2791826 2230986 1968743 3079504
"6" 2012 1840390 1830781 1010188 3283407 1589139 2013880 772278 1785991 2139747 1657912 2114243 2895437
"7" 2013 1552920 3185118 2249304 2095443 2753533 2158341 2221725 3140121 2793001 2650682 3205094 3402846
"8" 2014 2699413 2331417 2493780 1621762 2160899 1981325 3641656 2323054 1991346 2469589 2108090 2050790
"9" 2015 2554676 2788164 2113413 2176588 1838593 2542508 3479638 3495328 2493573 1498660 1957617 3265368
"10" 2016 1691781 1900386 1066107 1558448 767509 1266625 2329067 2229328 2964072 2511337 1242087 3409274
"11" 2017 2547348 1685904 3469754 2844424 1667105 1671252 2353052 998990 2258565 2774199 1830919 1527345
"12" 2018 3421926 1298626 2555574 2581150 2266100 2357408 1049794 1368369 2634786 3856068 2303492 1120228
