Year	Month	Claim
2009	Apr	22675
2007	Feb	17155
2017	Oct	20675
2016	Jan	10265
2008	Dec	21695
2014	Dec	16200
2007	Jul	15000
2011	Dec	33225
2009	Oct	23865
2015	Jan	19325
2007	Aug	29605
2010	Jan	18605
2009	Nov	18345
2012	Jan	17100
2009	Mar	17430
2012	Feb	23860
2014	Feb	20015
2012	Oct	37225
2007	Mar	20780
2018	May	25900
2017	Oct	18520
2013	Oct	19085
2013	Nov	29770
2009	Jun	25255
2015	Dec	30710
2013	Jun	20805
2015	Nov	23160
2010	Nov	13865
2016	Sep	21010
2011	Jan	27940
2013	Oct	16500
2007	Sep	18210
2015	Aug	23965
2007	Mar	17135
2011	Mar	20745
2007	Apr	36575
2012	Apr	21210
2015	Dec	21775
2018	Oct	15355
2017	Mar	5940
2013	Jul	30205
2013	Feb	23715
2017	Aug	10675
2010	Jun	27870
2013	Apr	17850
2010	Sep	20035
2017	Mar	19905
2018	Mar	22435
2016	Aug	21495
2008	Jun	22890
2013	Sep	10115
2010	Mar	26825
2015	Oct	26500
2011	Nov	22420
2011	Oct	26930
2014	May	16840
2008	May	12995
2010	Oct	18750
2010	Feb	20710
2008	Jun	13255
2007	May	25420
2012	Aug	8335
2015	Dec	23040
2015	Dec	19915
2011	Feb	22425
2012	Nov	23720
2008	Sep	16325
2010	May	20140
2018	Oct	11390
2009	Jun	10345
2008	Jan	21125
2017	Jul	22770
2015	Jun	14545
2016	Aug	13140
2009	Mar	26220
2012	Apr	17445
2014	Sep	22440
2012	Dec	22415
2010	Oct	16355
2011	Jun	17160
2010	Nov	10380
2007	Oct	22155
2011	May	14785
2012	Jan	21690
2017	Feb	15045
2017	Oct	20935
2015	Jan	11620
2015	Jan	11100
2012	Feb	20580
2018	May	17980
2008	Jan	18235
2013	Dec	5995
2015	Nov	13070
2017	Aug	13265
2007	Jul	24365
2018	Jan	54275
2007	Mar	30710
2018	Aug	18875
2012	Apr	14075
2008	Jul	43180
2018	Jul	18395
2009	Apr	28120
2010	Dec	17765
2009	Sep	32430
2013	Mar	25815
2016	Mar	18020
2016	Sep	17720
2016	Sep	24340
2009	May	12670
2011	Apr	18075
2007	Jul	42970
2009	Feb	19045
2014	Jun	14835
2012	Aug	21510
2009	Oct	18600
2012	Sep	16765
2017	Jan	26515
2014	Jul	17410
2008	Nov	19205
2012	Sep	19620
2011	Jul	27570
2018	Sep	18415
2013	Aug	30625
2015	Mar	25610
2008	Feb	20580
2018	Jan	10535
2011	Sep	18535
2009	Aug	24835
2014	Dec	16990
2016	Dec	18710
2013	Dec	29505
2015	Dec	16995
2012	Dec	16785
2008	Aug	19155
2007	Apr	11970
2017	Mar	28220
2014	Nov	22000
2016	Dec	11595
2015	Dec	7610
2009	Sep	21650
2013	Dec	18335
2014	Jan	28655
2008	Dec	12130
2008	Feb	20305
2018	Oct	24115
2016	Jul	19285
2015	Feb	20900
2017	Jun	26425
2009	Sep	17145
2007	Jul	23205
2008	Sep	33355
2007	Dec	26560
2011	Dec	9045
2015	Aug	25805
2016	Aug	21440
2011	Dec	45165
2008	Jun	31795
2011	Jan	21275
2007	Jun	18365
2012	May	24465
2014	Jul	13050
2010	May	24885
2017	Jul	22945
2011	May	12190
2008	Aug	17675
2008	Jan	11535
2009	Sep	42045
2014	Nov	18805
2018	Apr	12915
2013	Feb	30045
2008	Mar	21575
2007	Jun	19155
2008	Oct	13110
2009	Jan	11825
2013	Sep	28080
2007	Nov	5595
2007	Dec	11170
2013	Feb	16475
2015	Jun	9270
2014	Feb	11110
2010	Dec	21525
2014	Jun	13020
2011	Jan	19155
2008	Jun	19140
2016	Feb	16935
2011	Oct	11690
2016	Nov	34150
2008	Mar	18390
2008	Sep	32240
2011	Oct	16295
2014	Feb	19350
2007	Dec	15215
2015	Aug	25370
2011	Oct	15460
2012	Dec	21700
2007	Aug	19200
2015	Jan	26250
2014	Jul	19100
2015	Feb	8125
2010	Oct	19710
