,x
1,102.6449386
2,104.5987935
3,103.5452599
4,103.3045215
5,102.2711415
6,100.0092395
7,102.0591105
8,104.1592618
9,102.4838134
10,103.5747277
11,102.279165
12,100.5888919
13,102.8171952
14,101.8033518
15,101.5868107
16,101.9001068
17,106.2360058
18,104.2931183
19,102.021037
20,104.6196057
21,104.7941347
22,104.5655407
23,104.6495726
24,105.9590635
25,102.1254233
26,105.7680652
27,103.2901442
28,98.77605235
29,97.02207228
30,98.66791102
31,104.6852171
32,105.8212114
33,102.5899299
34,100.7019643
35,100.887311
36,103.0460744
37,106.157618
38,109.7037881
39,110.0010186
40,111.5368411
41,109.3410571
42,104.8242804
43,102.6662203
44,106.3074061
45,107.6553674
46,104.4971703
47,104.3547828
48,103.0142523
49,102.767263
50,105.6166893
51,107.343972
52,106.3416878
53,107.0307275
54,104.3771222
55,104.8460242
56,107.0101044
57,106.5165219
58,103.0430146
59,100.1115987
60,99.82107099
61,102.4151167
62,105.9482365
63,109.0934426
64,105.5094273
65,104.4496358
66,104.0395599
67,105.890588
68,103.7449373
69,102.974445
70,104.0241121
71,103.3442006
72,104.156776
73,102.0243392
74,104.0157695
75,106.7054035
76,111.6640779
77,113.9751665
78,113.5208827
79,111.9722009
80,109.0444412
81,109.1251815
82,108.2224877
83,103.7415532
84,98.63260899
85,100.8388153
86,103.3040683
87,108.7134837
88,111.4228265
89,110.8452389
90,111.6032859
91,116.1475141
92,118.6486119
93,116.7784615
94,114.5756411
95,114.4139813
96,115.6961449
97,114.3591992
98,111.8275848
99,112.0583061
100,109.4688349
101,107.4193728
102,108.6475516
103,106.3592273
104,105.2657797
105,108.8742052
106,113.5299562
107,117.2754132
108,116.5878472
109,112.6950815
110,111.4978706
111,111.8108539
112,117.6314459
113,118.0576704
114,118.3218136
115,117.5759923
116,117.4854325
117,118.4593742
118,113.9909666
119,111.1801676
120,114.660864
121,116.3467192
122,113.9868324
123,110.4793337
124,112.0677652
125,115.2282863
126,116.1377751
127,115.7304517
128,116.4345208
129,118.3176323
130,120.9840721
131,121.7368592
132,119.8258915
133,118.3581605
134,118.3224562
135,115.308301
136,111.5997995
137,110.8953012
138,109.3775128
139,109.2833098
140,112.0787942
141,113.6241282
142,112.0492607
143,109.7193563
144,112.0712486
145,112.2601713
146,109.5801304
147,112.3686536
148,112.2751902
149,112.0425954
150,116.4528368
151,118.1315343
152,119.1203782
153,119.3998654
154,118.8266911
155,114.8583554
156,115.0417008
157,111.7239083
158,110.7896777
159,114.5708528
160,112.7031406
161,111.8268735
162,109.8633236
163,110.2572637
164,114.3969848
165,115.2772525
166,116.895271
167,119.7489906
168,117.9650487
169,115.7166166
170,116.8787429
171,117.537948
172,116.1720431
173,115.651837
174,115.8498945
175,118.9062221
176,120.2249777
177,117.8004086
178,119.9259624
179,120.1841555
180,119.8451416
